id,EAP,HPL,MWS,#VALUE!
id25032,0.491367392,0.228090678,0.280541929,0.999999999
id27165,0.48847186,0.2462156,0.26531254,1
id03327,0.344075202,0.26328182,0.232642979,0.840000001
id18515,0.428147646,0.288222905,0.283629449,1
id21003,0.332154066,0.327996355,0.339849579,1
id23855,0.257354841,0.404016387,0.338628772,1
id20724,0.432354981,0.26424238,0.303402639,1
id13303,0.383048944,0.296194029,0.320757028,1.000000001
id16521,0.316200154,0.333371749,0.315945338,0.965517241
id20775,0.470593995,0.27434271,0.255063295,1
id13029,0.441971747,0.270116699,0.287911555,1.000000001
id14660,0.406037338,0.304740166,0.289222496,1
id11028,0.32967479,0.189891416,0.480433794,1
id14180,0.454857005,0.253829179,0.241313816,0.95
id25860,0.386454695,0.267896941,0.286824834,0.94117647
id11910,0.388836229,0.181823689,0.429340082,1
id08065,0.317334929,0.30699241,0.375672661,1
id22674,0.374993918,0.266564371,0.358441711,1
id25018,0.378716512,0.261564523,0.359718966,1.000000001
id10892,0.342325882,0.374315567,0.283358551,1
id10217,0.38841108,0.335347144,0.276241776,1
id12996,0.357019438,0.251458385,0.391522176,0.999999999
id18262,0.400723777,0.276299763,0.322976461,1.000000001
id08606,0.326698325,0.401545081,0.271756595,1.000000001
id17233,0.323577319,0.279876225,0.396546455,0.999999999
id00101,0.403995514,0.294501527,0.301502958,0.999999999
id12225,0.473822689,0.246865369,0.279311942,1
id01364,0.337445507,0.379375678,0.283178815,1
id24973,0.400900074,0.22232808,0.376771846,1
id25363,0.387485555,0.268167612,0.344346833,1
id10061,0.383303596,0.281677362,0.307241264,0.972222222
id17673,0.352268077,0.344262534,0.303469389,1
id13249,0.400290882,0.258159579,0.341549539,1
id10107,0.350384645,0.240439696,0.409175659,1
id04403,0.369322554,0.264348192,0.282995921,0.916666667
id25728,0.394016278,0.310295737,0.295687985,1
id16184,0.364132121,0.300627645,0.335240234,1
id03438,0.328082606,0.238352377,0.433565017,1
id22923,0.333484349,0.431489603,0.235026048,1
id08610,0.460000596,0.247994273,0.252005131,0.96
id25355,0.326698565,0.273204244,0.400097191,1
id16916,0.367961115,0.349930811,0.282108074,1
id12793,0.31859973,0.343730252,0.272452627,0.934782609
id11859,0.387951722,0.303831662,0.308216616,1
id02434,0.46925158,0.258049664,0.258206003,0.985507247
id27703,0.31634632,0.227569878,0.456083802,1
id25212,0.340544599,0.34898577,0.310469631,1
id11308,0.287520357,0.262947934,0.449531708,0.999999999
id26094,0.454856093,0.278027347,0.26711656,1
id22080,0.451326049,0.297753817,0.250920133,0.999999999
id03545,0.418086395,0.26895352,0.229626751,0.916666666
id23725,0.327480838,0.29869963,0.373819531,0.999999999
id12009,0.474762563,0.270114613,0.255122825,1.000000001
id24241,0.353566237,0.347546961,0.298886801,0.999999999
id03596,0.347441985,0.382265907,0.270292108,1
id10749,0.342425527,0.391887138,0.265687335,1
id22794,0.293121187,0.287739097,0.419139716,1
id15482,0.385946628,0.284878768,0.329174604,1
id04833,0.377301384,0.266793823,0.262154793,0.90625
id00397,0.375506685,0.26731516,0.357178155,1
id14691,0.345093296,0.27349159,0.381415114,1
id05193,0.322446978,0.252730738,0.424822285,1.000000001
id19541,0.372458952,0.301626413,0.294664636,0.968750001
id22166,0.300560423,0.300569455,0.398870123,1.000000001
id20744,0.320382996,0.240669875,0.43894713,1.000000001
id10392,0.340370121,0.297047733,0.362582145,0.999999999
id00770,0.43177702,0.264680097,0.303542883,1
id06018,0.364824265,0.323004492,0.312171243,1
id15678,0.39343814,0.246556333,0.331434099,0.971428572
id08305,0.464161239,0.357485163,0.178353598,1
id08903,0.276590137,0.259147327,0.464262536,1
id14752,0.39512196,0.319758638,0.253869402,0.96875
id12468,0.314850897,0.405648301,0.247242737,0.967741935
id05085,0.37433293,0.314465283,0.311201787,1
id21993,0.386076195,0.275151271,0.338772533,0.999999999
id15503,0.468403927,0.274373057,0.257223015,0.999999999
id03021,0.298645498,0.387575496,0.275317468,0.961538462
id16123,0.484959816,0.248745606,0.242485055,0.976190477
id19383,0.416219544,0.280218018,0.272312438,0.96875
id04186,0.461353406,0.234357324,0.304289269,0.999999999
id17954,0.345445732,0.267556893,0.371124359,0.984126984
id12030,0.381171532,0.232434674,0.386393794,1
id13020,0.389602782,0.375160843,0.235236375,1
id25327,0.32070647,0.341949279,0.337344251,1
id16344,0.314511362,0.298898488,0.38659015,1
id12303,0.355686292,0.360740203,0.283573505,1
id15017,0.407284672,0.28493107,0.269809574,0.962025316
id22308,0.33653237,0.292583281,0.315328793,0.944444444
id06536,0.322992633,0.286799566,0.390207802,1.000000001
id19797,0.312668883,0.335133885,0.352197232,1
id06332,0.415546821,0.311682669,0.272770509,0.999999999
id22941,0.345792532,0.307562207,0.346645262,1.000000001
id13547,0.330924768,0.315068773,0.354006459,1
id06928,0.338364417,0.217095233,0.44454035,1
id12521,0.29405989,0.341122694,0.277860895,0.913043479
id25716,0.448028002,0.261561178,0.29041082,1
id27116,0.378651415,0.254634071,0.366714515,1.000000001
id19941,0.341878209,0.371698846,0.286422945,1
id05711,0.317732445,0.277255477,0.405012078,1
id02097,0.321223929,0.303831527,0.374944545,1.000000001
id03563,0.355908432,0.375456939,0.268634629,1
id02295,0.27339775,0.236629607,0.289972644,0.800000001
id08179,0.39619114,0.278940178,0.271022528,0.946153846
id05332,0.353371931,0.336992787,0.309635283,1.000000001
id15697,0.379960392,0.291160889,0.328878719,1
id17026,0.392857887,0.212032604,0.395109509,1
id04243,0.363190998,0.294205526,0.29714893,0.954545454
id13175,0.503707131,0.245717091,0.250575778,1
id05387,0.402109118,0.267780657,0.303794436,0.973684211
id19989,0.38210199,0.288091883,0.300394362,0.970588235
id25173,0.355303699,0.279314221,0.36538208,1
id08925,0.36810639,0.391450782,0.240442828,1
id03034,0.329194364,0.373795693,0.297009943,1
id13272,0.307417279,0.43189322,0.260689501,1
id07956,0.404798641,0.255754505,0.339446853,0.999999999
id02648,0.294357864,0.182178932,0.523463203,0.999999999
id01778,0.36937422,0.266044026,0.364581753,0.999999999
id12846,0.347744007,0.229703126,0.422552867,1
id19001,0.362461242,0.279491778,0.35804698,1
id05763,0.355978075,0.279366423,0.293226931,0.928571429
id15590,0.328383038,0.261813146,0.409803816,1
id04912,0.381012379,0.28496422,0.3340234,0.999999999
id21201,0.399184443,0.287894443,0.272921114,0.96
id13215,0.460049931,0.191982202,0.2813012,0.933333333
id15612,0.33146201,0.325946282,0.271163137,0.928571429
id18501,0.340787671,0.270362054,0.285401999,0.896551724
id07223,0.35374133,0.357993116,0.288265554,1
id06707,0.335318432,0.29297551,0.371706059,1.000000001
id05238,0.295689229,0.400047622,0.263446822,0.959183673
id00935,0.330079876,0.298117124,0.371803,1
id00110,0.378050612,0.258668305,0.363281083,1
id17476,0.422712778,0.280858961,0.29642826,0.999999999
id15170,0.466780542,0.270003594,0.263215864,1
id13397,0.349098604,0.274737576,0.376163819,0.999999999
id24283,0.376125914,0.309788427,0.314085659,1
id15234,0.40604147,0.269428239,0.257863625,0.933333334
id16884,0.32527954,0.336203915,0.298516544,0.959999999
id07831,0.389893742,0.310331396,0.299774862,1
id16038,0.445119175,0.279206238,0.275674587,1
id03629,0.368183973,0.223137206,0.254832667,0.846153846
id21019,0.422075143,0.343895128,0.234029728,0.999999999
id21835,0.346240699,0.343892087,0.309867213,0.999999999
id04480,0.378544467,0.391426502,0.230029031,1
id20838,0.417416638,0.31011676,0.272466602,1
id24195,0.38743549,0.279602817,0.221850582,0.888888889
id05448,0.402602989,0.310684724,0.286712288,1.000000001
id15957,0.320855988,0.397087619,0.282056393,1
id19956,0.316758538,0.219098722,0.464142741,1.000000001
id15104,0.307487912,0.299677127,0.392834961,1
id17559,0.463974411,0.285320979,0.25070461,1
id16839,0.368095173,0.270519709,0.361385118,1
id14493,0.393644103,0.263031315,0.343324583,1.000000001
id08833,0.375075685,0.263582892,0.329083359,0.967741936
id15723,0.385701873,0.20130529,0.412992837,1
id02716,0.409713025,0.260864592,0.303781358,0.974358975
id06689,0.308331448,0.352615481,0.243814975,0.904761904
id18837,0.324903519,0.254418725,0.333721235,0.913043479
id04466,0.440228901,0.293024881,0.266746218,1
id00686,0.392295905,0.270806826,0.302414511,0.965517242
id09010,0.373010043,0.375336539,0.251653418,1
id23353,0.4850914,0.242909609,0.271998991,1
id00066,0.337136145,0.268091427,0.303863338,0.90909091
id15724,0.321693279,0.385648951,0.29265777,1
id23486,0.325756586,0.274867918,0.34381994,0.944444444
id22258,0.342973448,0.28470564,0.372320913,1.000000001
id02292,0.432911711,0.262843877,0.304244411,0.999999999
id16356,0.359468591,0.267363466,0.373167942,0.999999999
id00235,0.390870001,0.262240545,0.31463139,0.967741936
id25522,0.353858553,0.269104625,0.377036822,1
id04204,0.394504154,0.29896726,0.306528586,1
id22016,0.357465379,0.248342772,0.394191849,1
id06480,0.323419349,0.338087198,0.283947998,0.945454545
id08718,0.361074356,0.254788061,0.384137583,1
id05251,0.290234354,0.391218162,0.23031219,0.911764706
id03359,0.366281136,0.339180828,0.294538036,1
id16117,0.364544788,0.251697168,0.383758045,1.000000001
id17000,0.281198646,0.490696021,0.228105333,1
id01730,0.344121622,0.325936132,0.277310667,0.947368421
id00630,0.388753148,0.305010162,0.30623669,1
id18175,0.368406217,0.200382863,0.431210921,1.000000001
id00907,0.422102314,0.274268905,0.303628781,1
id18251,0.306094442,0.404467899,0.232294802,0.942857143
id25861,0.373845723,0.283917692,0.342236585,1
id00398,0.31720647,0.314260008,0.235200189,0.866666667
id27573,0.413796331,0.258552405,0.299873486,0.972222222
id10022,0.324079009,0.34364914,0.299484965,0.967213114
id15901,0.335663881,0.221637358,0.378182632,0.935483871
id00451,0.313779031,0.250780945,0.368773358,0.933333334
id23129,0.311679416,0.348102139,0.296740184,0.956521739
id26498,0.369668975,0.339207046,0.291123979,1
id14741,0.370143558,0.299815884,0.280040558,0.95
id18453,0.347475248,0.254078729,0.398446022,0.999999999
id08309,0.402864898,0.285380216,0.311754886,1
id00320,0.460131581,0.254128567,0.266871928,0.981132076
id07688,0.362265961,0.287948223,0.349785816,1
id01556,0.308632334,0.266049185,0.425318481,1
id00178,0.331989359,0.244044184,0.335077568,0.911111111
id18902,0.349418787,0.265533776,0.385047437,1
id27002,0.346440307,0.459976946,0.193582747,1
id21418,0.47604459,0.228201286,0.229087457,0.933333333
id23018,0.370640258,0.278286466,0.351073276,1
id07032,0.351302712,0.282519957,0.340536306,0.974358975
id16195,0.410535408,0.266065771,0.323398821,1
id11202,0.259248797,0.378299391,0.237451812,0.875
id09578,0.404974977,0.258342637,0.336682386,1
id26984,0.397248378,0.178588261,0.424163361,1
id19856,0.322170432,0.381354163,0.266172375,0.96969697
id12086,0.394678182,0.245137576,0.360184241,0.999999999
id12052,0.290190569,0.214834864,0.494974567,1
id17728,0.306803115,0.280177964,0.368574477,0.955555556
id24608,0.360499236,0.272420179,0.367080585,1
id21097,0.361354628,0.274305314,0.364340058,1
id20179,0.330671518,0.264946889,0.404381593,1
id15144,0.324049307,0.252817404,0.32313329,0.900000001
id00206,0.376819854,0.302402987,0.320777159,1
id22285,0.350543509,0.252296581,0.325731339,0.928571429
id06417,0.314987246,0.309330944,0.328062763,0.952380953
id00215,0.321319635,0.390313982,0.242911837,0.954545454
id04201,0.394350203,0.245030317,0.360619479,0.999999999
id21771,0.480768593,0.250211578,0.269019828,0.999999999
id12451,0.329858928,0.348022438,0.322118634,1
id14250,0.340898849,0.324794081,0.33430707,1
id03433,0.35277168,0.342190414,0.305037907,1.000000001
id03303,0.371260312,0.251238015,0.377501673,1
id25901,0.315672912,0.33938257,0.344944518,1
id06945,0.377917252,0.262003627,0.360079121,1
id05664,0.390882865,0.288215076,0.320902059,1
id05741,0.452627842,0.256213955,0.291158203,1
id10652,0.433665806,0.299863818,0.266470376,1
id16300,0.375745992,0.267620605,0.283462671,0.926829268
id12319,0.385032625,0.261598268,0.353369107,1
id07500,0.334689848,0.378095056,0.244661905,0.957446809
id12478,0.342287288,0.314475397,0.343237315,1
id03076,0.352295874,0.225052278,0.422651848,1
id00969,0.350816797,0.310980769,0.294724173,0.956521739
id23636,0.279449419,0.437763867,0.282786715,1.000000001
id09791,0.322269137,0.231071694,0.303802026,0.857142857
id05680,0.352664205,0.320384625,0.306117837,0.979166667
id03672,0.309113099,0.357241911,0.278089435,0.944444445
id04286,0.296535727,0.369270089,0.334194184,1
id23883,0.318525424,0.334297214,0.347177362,1
id11914,0.419712245,0.23715247,0.343135285,1
id20974,0.357304832,0.314836605,0.298446798,0.970588235
id26125,0.369475669,0.222843222,0.407681109,1
id15543,0.376951211,0.275945512,0.347103278,1.000000001
id19471,0.421192411,0.272816646,0.305990943,1
id11503,0.348689587,0.304944622,0.290810235,0.944444444
id09321,0.316457915,0.365750433,0.317791652,1
id25560,0.278976396,0.249544843,0.39039768,0.918918919
id06726,0.372476492,0.299595253,0.327928255,1
id05709,0.444653549,0.235909268,0.319437183,1
id09788,0.291756951,0.365275726,0.342967323,1
id05289,0.440428472,0.280081585,0.279489943,1
id11815,0.350333467,0.375326028,0.274340505,1
id22422,0.355613332,0.292910773,0.351475895,1
id25954,0.408921643,0.243166036,0.300293274,0.952380953
id13601,0.417180932,0.313357265,0.269461804,1.000000001
id05677,0.409208837,0.263210792,0.327580371,1
id10498,0.418539111,0.317914723,0.230212833,0.966666667
id02665,0.378112654,0.29918138,0.270074387,0.947368421
id10114,0.347971131,0.332910609,0.31911826,1
id26314,0.393318657,0.292424839,0.278542218,0.964285714
id21240,0.356495467,0.293819456,0.349685077,1
id15569,0.417818631,0.277983727,0.281470369,0.977272727
id25928,0.340410573,0.2964969,0.363092527,1
id22706,0.356053521,0.37351093,0.230435549,0.96
id20877,0.2956921,0.368374105,0.317751978,0.981818183
id04318,0.33588536,0.317999225,0.346115415,1
id18299,0.343172809,0.308410849,0.300797294,0.952380952
id08126,0.354466134,0.258939192,0.386594674,1
id14293,0.399171798,0.255575979,0.345252223,1
id12759,0.437219663,0.232142094,0.330638243,1
id11983,0.365304376,0.299060714,0.298597873,0.962962963
id05580,0.346186566,0.351080194,0.30273324,1
id25846,0.343582569,0.365890668,0.290526763,1
id01939,0.365875973,0.280272869,0.353851158,1
id26327,0.232500587,0.315743193,0.308899077,0.857142857
id11068,0.307038832,0.224036647,0.468924521,1
id08404,0.427941311,0.274084812,0.297973877,1
id27189,0.404133493,0.315747745,0.280118763,1.000000001
id15119,0.347143892,0.339507182,0.313348926,1
id26525,0.488924571,0.199725014,0.311350414,0.999999999
id03618,0.393543928,0.291958587,0.247830818,0.933333333
id27220,0.40416479,0.286212025,0.309623186,1.000000001
id18777,0.291833442,0.247973105,0.460193453,1
id20213,0.441496305,0.25084602,0.307657675,1
id20403,0.386731756,0.279870786,0.303094428,0.96969697
id03777,0.358810042,0.305441968,0.335747989,0.999999999
id10595,0.33763398,0.362351992,0.272236251,0.972222223
id13816,0.34648653,0.276453622,0.321504292,0.944444444
id05667,0.342564863,0.254843822,0.368108557,0.965517242
id24629,0.396053016,0.286833894,0.317113091,1.000000001
id20398,0.319117548,0.276933729,0.360470462,0.956521739
id14108,0.337487557,0.243765599,0.418746844,1
id06196,0.3274119,0.396667387,0.275920713,1
id02800,0.331961014,0.313726762,0.317275187,0.962962963
id18732,0.3604702,0.353784528,0.285745272,1
id11915,0.302900863,0.366409319,0.29222828,0.961538462
id09739,0.40395274,0.284361701,0.31168556,1.000000001
id24672,0.395383762,0.250376819,0.306620371,0.952380952
id00414,0.291470781,0.295260026,0.397644192,0.984374999
id16307,0.42587197,0.273937225,0.300190805,1
id14043,0.317040848,0.264080206,0.418878946,1
id00517,0.287681598,0.255978572,0.45633983,1
id09744,0.393546377,0.262956573,0.272068478,0.928571428
id19257,0.437700462,0.274061766,0.288237772,1
id15437,0.354168454,0.325881132,0.278283748,0.958333334
id16352,0.328375082,0.267330036,0.404294882,1
id18849,0.403285894,0.316524947,0.280189159,1
id19434,0.273792794,0.395765016,0.253519113,0.923076923
id17928,0.342151337,0.253512901,0.367298725,0.962962963
id16896,0.356187645,0.237801776,0.406010579,1
id02135,0.291821787,0.286467801,0.338377079,0.916666667
id15075,0.401516162,0.277251981,0.279565191,0.958333334
id27486,0.332156408,0.324059858,0.250760478,0.906976744
id19422,0.443658968,0.273861867,0.282479166,1.000000001
id09603,0.29558105,0.431815473,0.272603477,1
id02133,0.355553363,0.375012258,0.269434379,1
id03441,0.38481312,0.265638499,0.349548381,1
id02398,0.298586997,0.460869361,0.207210309,0.966666667
id05152,0.399863465,0.24659103,0.353545505,1
id17838,0.357017308,0.246480071,0.396502621,1
id25060,0.450821888,0.269530852,0.279647261,1.000000001
id09998,0.35475239,0.264737083,0.324954971,0.944444444
id01828,0.333809932,0.363757708,0.30243236,1
id25377,0.388613414,0.311659107,0.299727479,1
id22175,0.338005668,0.388716044,0.273278288,1
id02974,0.342437505,0.261314447,0.396248048,1
id26955,0.430930619,0.265967041,0.26310234,0.96
id21091,0.367311457,0.258183176,0.330060923,0.955555556
id12802,0.460667713,0.244708801,0.207666964,0.913043478
id07432,0.324257872,0.38373799,0.271595975,0.979591837
id18749,0.338343716,0.351667084,0.3099892,1
id15030,0.309791883,0.267885581,0.422322536,1
id17155,0.326236537,0.363568728,0.285804491,0.975609756
id08128,0.300939233,0.337946673,0.289685522,0.928571428
id25706,0.274951018,0.374003465,0.295489962,0.944444445
id15645,0.468069483,0.259962462,0.271968055,1
id04943,0.400798077,0.302073622,0.297128301,1
id27566,0.349139952,0.302342157,0.348517891,1
id11765,0.343461963,0.31342632,0.307397431,0.964285714
id13783,0.316713563,0.289521641,0.310431463,0.916666667
id00492,0.324550293,0.204336215,0.42763523,0.956521738
id27636,0.340830864,0.280750919,0.349006452,0.970588235
id04273,0.383384411,0.284948593,0.305351206,0.97368421
id02537,0.302923001,0.322586388,0.374490612,1.000000001
id24349,0.309652891,0.308022868,0.251889458,0.869565217
id00023,0.291574009,0.41265386,0.295772131,1
id23025,0.37160344,0.299676362,0.328720198,1
id08722,0.421955488,0.263376394,0.314668119,1.000000001
id02420,0.477635825,0.268149678,0.233381165,0.979166668
id10811,0.428874366,0.254316205,0.281095143,0.964285714
id04019,0.354279707,0.280680738,0.365039555,1
id18334,0.541072589,0.23676337,0.222164041,1
id16781,0.484413883,0.284086444,0.231499673,1
id08773,0.353978986,0.359181492,0.246839522,0.96
id19214,0.382271572,0.247854806,0.262730764,0.892857142
id09589,0.261386488,0.440260778,0.298352734,1
id24246,0.378007042,0.275773435,0.297439035,0.951219512
id23577,0.426936736,0.282198529,0.219436164,0.928571429
id09305,0.366293532,0.288557214,0.345149254,1
id16460,0.345094605,0.282688504,0.288883557,0.916666666
id21115,0.395490212,0.309886144,0.294623644,1
id25996,0.351180302,0.19159848,0.314364075,0.857142857
id02551,0.281969214,0.298089501,0.419941286,1.000000001
id19352,0.340504278,0.262253312,0.39724241,1
id03806,0.362543829,0.253050075,0.384406096,1
id26544,0.400631488,0.283258377,0.316110135,1
id18761,0.371206719,0.305796816,0.322996465,1
id24148,0.373320147,0.37583254,0.250847312,0.999999999
id16095,0.275761365,0.353333,0.275667539,0.904761904
id18442,0.373847488,0.30900285,0.317149661,0.999999999
id22596,0.339247732,0.235865028,0.42488724,1
id23002,0.265575157,0.301227649,0.433197194,1
id04797,0.470767799,0.264683782,0.264548419,1
id06610,0.34279208,0.271640741,0.354317179,0.96875
id16173,0.382013081,0.354594526,0.263392393,1
id18292,0.337419225,0.276374332,0.386206442,0.999999999
id27328,0.48324152,0.210709758,0.250493167,0.944444445
id01695,0.350718054,0.369421075,0.279860872,1.000000001
id05761,0.367126205,0.217596696,0.356453569,0.94117647
id16354,0.415725332,0.257232087,0.327042581,1
id12207,0.231551132,0.27719681,0.396013962,0.904761904
id05665,0.359846727,0.263131226,0.353766233,0.976744186
id01911,0.473279707,0.280513553,0.246206741,1.000000001
id19153,0.349104972,0.26613422,0.35027805,0.965517242
id10295,0.362447415,0.338078116,0.299474469,1
id23038,0.416776071,0.303865874,0.279358055,1
id23783,0.381777691,0.35924951,0.258972799,1
id27879,0.391193537,0.282649837,0.261640497,0.935483871
id19190,0.242379294,0.551925382,0.205695324,1
id05065,0.441886624,0.247948021,0.2546098,0.944444445
id21296,0.307164787,0.385737093,0.263619859,0.956521739
id13262,0.351656067,0.28160799,0.366735943,1
id10333,0.431041073,0.263246932,0.280070969,0.974358974
id16677,0.355877647,0.299951698,0.308876537,0.964705882
id01392,0.395202844,0.23141373,0.373383426,1
id27874,0.43564814,0.289416199,0.27493566,0.999999999
id02294,0.243285696,0.443597137,0.313117167,1
id18298,0.307995383,0.322600843,0.369403775,1.000000001
id06997,0.382094122,0.248232577,0.261565193,0.891891892
id05243,0.317193916,0.375067557,0.307738527,1
id00860,0.348137777,0.347680612,0.304181611,1
id26681,0.356658776,0.309518458,0.333822766,1
id06020,0.339446956,0.242557739,0.369608208,0.951612903
id27683,0.359627957,0.304019604,0.273852439,0.9375
id17655,0.33366183,0.418683598,0.247654571,0.999999999
id08817,0.342240018,0.246171391,0.375874306,0.964285715
id11512,0.276286127,0.283028071,0.409435802,0.96875
id00478,0.383746542,0.240871923,0.375381535,1
id02116,0.41288995,0.292410007,0.294700042,0.999999999
id06746,0.457266124,0.263407844,0.279326031,0.999999999
id03863,0.360639502,0.291124006,0.348236492,1
id01802,0.336574155,0.380586318,0.282839526,0.999999999
id11682,0.387691258,0.252891424,0.359417318,1
id04033,0.352561796,0.341779127,0.305659077,1
id09286,0.339197257,0.288533219,0.342857759,0.970588235
id12904,0.460382221,0.261060629,0.27855715,1
id07420,0.333051183,0.278788042,0.388160775,1
id22398,0.290693807,0.405898997,0.281184974,0.977777778
id00424,0.373829075,0.262453604,0.363717321,1
id20960,0.464738481,0.275959082,0.259302437,1
id10267,0.348129643,0.358705127,0.293165231,1.000000001
id19330,0.381229029,0.27080613,0.34796484,0.999999999
id00994,0.276660065,0.476362497,0.246977438,1
id10785,0.406885309,0.301253002,0.291861689,1
id00955,0.289377793,0.430310003,0.280312204,1
id09757,0.310820968,0.407170145,0.282008887,1
id10030,0.306206009,0.27359462,0.420199371,1
id22952,0.370486899,0.315660104,0.313852997,1
id21955,0.322922277,0.261515941,0.415561781,0.999999999
id07674,0.393231921,0.275572002,0.331196077,1
id13760,0.323573301,0.410473346,0.234703353,0.96875
id18166,0.39546232,0.264698057,0.316583809,0.976744186
id23498,0.323720459,0.318330077,0.22461613,0.866666666
id05296,0.441922412,0.236127102,0.321950486,1
id26709,0.41841554,0.276453841,0.275718855,0.970588236
id02853,0.397085721,0.261443332,0.274804281,0.933333334
id06800,0.34085033,0.353209048,0.305940621,0.999999999
id14758,0.370985201,0.318676968,0.310337831,1
id12356,0.419026984,0.28489639,0.296076626,1
id21492,0.408464615,0.289890712,0.301644674,1.000000001
id27540,0.403537514,0.24284202,0.339127712,0.985507246
id07376,0.344597707,0.295229322,0.333145944,0.972972973
id15201,0.405818935,0.334657458,0.259523608,1.000000001
id23388,0.306575419,0.358842227,0.275758824,0.94117647
id13923,0.348654711,0.352225458,0.299119831,1
id00794,0.30827397,0.418226063,0.273499966,0.999999999
id23910,0.360484185,0.296131296,0.343384519,1
id02556,0.286230667,0.263709605,0.350059728,0.9
id22151,0.32749579,0.418554561,0.253949649,1
id11698,0.232295553,0.532936878,0.234767568,0.999999999
id11627,0.340523773,0.237441079,0.310924037,0.888888889
id06340,0.480897321,0.230774624,0.242873509,0.954545454
id05123,0.469679855,0.284905625,0.245414521,1.000000001
id26620,0.307632305,0.208534174,0.483833521,1
id04002,0.348634384,0.306799605,0.344566012,1.000000001
id26554,0.317858121,0.300863086,0.346796034,0.965517241
id18012,0.328306604,0.327149541,0.344543855,1
id12964,0.326208748,0.2160337,0.457757552,1
id18965,0.303391927,0.373008427,0.323599646,1
id19082,0.362903279,0.242701393,0.394395328,1
id26742,0.349471142,0.246631253,0.403897605,1
id15442,0.318705267,0.3902798,0.291014933,1
id16647,0.382524736,0.270154048,0.347321216,1
id11544,0.305039069,0.261855405,0.370605526,0.9375
id20581,0.294854268,0.319174533,0.385971199,1
id13192,0.340678211,0.362120708,0.297201081,1
id15814,0.305921809,0.310707239,0.383370952,1
id26279,0.317378276,0.351167515,0.231454208,0.899999999
id00240,0.369438835,0.256814594,0.290413238,0.916666667
id22836,0.437900765,0.272884301,0.260643505,0.971428571
id15085,0.325124165,0.360127051,0.314748784,1
id17495,0.331050103,0.260447924,0.408501973,1
id26762,0.342350254,0.282682521,0.345555461,0.970588236
id13685,0.414921239,0.261242709,0.323836052,1
id16560,0.343938264,0.394592205,0.261469531,1
id17184,0.313993877,0.394692818,0.291313305,1
id21635,0.413401755,0.268786291,0.299630137,0.981818183
id26751,0.351567856,0.319329144,0.329103,1
id12351,0.412961502,0.270699104,0.316339394,1
id14872,0.343928503,0.28226886,0.248802637,0.875
id18372,0.407951793,0.300236601,0.291811606,1
id26851,0.412930584,0.281496975,0.305572441,1
id22659,0.375889076,0.346972524,0.277138401,1.000000001
id04102,0.353600852,0.271106391,0.350292757,0.975
id02353,0.323741256,0.396907217,0.279351527,1
id26721,0.408387842,0.279305644,0.270639847,0.958333333
id11171,0.383855215,0.292402676,0.323742108,0.999999999
id13562,0.360917712,0.315432556,0.323649732,1
id26425,0.416830422,0.249812467,0.333357111,1
id26394,0.350834421,0.297082194,0.352083385,1
id22187,0.345447533,0.258563987,0.253131338,0.857142858
id00422,0.445749372,0.254545695,0.271535919,0.971830986
id22667,0.347166031,0.388329456,0.24664737,0.982142857
id00911,0.35724982,0.232746522,0.326670324,0.916666666
